k,depth,random_state,accuracy_train,accuracy_test,discrimination_train,discrimination_train_pred,discrimination_test,min_supp,clf.tree_,discrimination_relab_1,accuracy_relab_1,discrimination_relab_2,accuracy_relab_2,discrimination_relab_3,accuracy_relab_3,discrimination_relab_0.0,accuracy_relab_0.0,discrimination_relab_0.1,accuracy_relab_0.1,discrimination_relab_0.2,accuracy_relab_0.2,discrimination_relab_0.3,accuracy_relab_0.3
0,2,33,0.8708134,0.8076923,0.29214891,0.20119598,0.27555555,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.0162037,0.7081,-0.18499229,0.2631,-0.20119599,0.1291,-0.18499229,0.2631,0.0162037,0.7081,0.0162037,0.7081,0.20119598,0.8708
0,2,37,0.85167464,0.88461538,0.33078086,0.21563622,0.23125,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.05426356,0.6985,0.0,0.6076,-0.21563623,0.1483,0.0,0.6076,0.05426356,0.6985,0.05426356,0.6985,0.21563622,0.8516
0,2,39,0.86124402,0.84615384,0.31937984,0.21763565,0.23076923,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.03507751,0.6985,-0.18255814,0.2344,-0.21763566,0.1387,-0.18255814,0.2344,0.03507751,0.6985,0.03507751,0.6985,0.21763565,0.8612
0,2,41,0.88038278,0.76923076,0.26681741,0.16336913,0.4338118,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.00772564,0.732,-0.15564349,0.2488,-0.16336914,0.1196,-0.15564349,0.2488,0.00772564,0.732,0.16336913,0.8803,0.16336913,0.8803
0,2,45,0.84688995,0.90384615,0.37968119,0.24908776,0.06547619,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.04234684,0.6602,-0.20674093,0.2392,-0.24908777,0.1531,-0.20674093,0.2392,0.04234684,0.6602,0.04234684,0.6602,0.24908776,0.8468
0,2,47,0.74641148,0.75,0.31780952,0.19238095,0.08787878,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.09238095,0.7368,-0.10000001,0.5741,-0.20076191,0.2583,-0.10000001,0.5741,0.09238095,0.7368,0.19238095,0.7464,0.19238095,0.7464
0,2,49,0.86124402,0.84615384,0.27011494,0.19945355,0.29027113,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.01592236,0.7081,-0.18353119,0.2344,-0.19945356,0.1387,-0.18353119,0.2344,0.01592236,0.7081,0.19945355,0.8612,0.19945355,0.8612
0,2,51,0.86602871,0.82692307,0.32128099,0.2303719,0.14379084,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.05268595,0.7177,-0.17768596,0.2535,-0.23037191,0.1339,-0.17768596,0.2535,0.05268595,0.7177,0.05268595,0.7177,0.2303719,0.866
0,2,53,0.86124402,0.84615384,0.35529095,0.26560399,0.01785714,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.08248511,0.6889,0.0,0.5645,-0.265604,0.1387,0.0,0.5645,0.08248511,0.6889,0.08248511,0.6889,0.26560399,0.8612
0,2,55,0.84688995,0.90384615,0.28724421,0.19850831,0.30734632,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.03241537,0.6985,0.0,0.622,-0.19850832,0.1531,0.0,0.622,0.03241537,0.6985,0.19850831,0.8468,0.19850831,0.8468
0,2,57,0.84688995,0.90384615,0.33486326,0.24612736,0.10044977,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.0441767,0.6889,-0.20195066,0.2488,-0.24612737,0.1531,-0.20195066,0.2488,0.0441767,0.6889,0.0441767,0.6889,0.24612736,0.8468
0,2,59,0.86124402,0.84615384,0.30804685,0.20971768,0.24404761,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.03447282,0.6937,-0.17524487,0.2392,-0.20971769,0.1387,-0.17524487,0.2392,0.03447282,0.6937,0.03447282,0.6937,0.20971768,0.8612
0,2,61,0.84688995,0.90384615,0.34228377,0.22734124,0.17703349,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.03561334,0.6889,-0.19172791,0.2488,-0.22734125,0.1531,-0.19172791,0.2488,0.03561334,0.6889,0.03561334,0.6889,0.22734124,0.8468
0,2,63,0.86124402,0.84615384,0.3316689,0.23766084,0.13095238,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.05022085,0.6985,-0.18743999,0.2583,-0.23766085,0.1387,-0.18743999,0.2583,0.05022085,0.6985,0.05022085,0.6985,0.23766084,0.8612
0,2,65,0.86124402,0.84615384,0.33595825,0.24250474,0.11981566,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.05569259,0.7033,0.0,0.6124,-0.24250475,0.1387,0.0,0.6124,0.05569259,0.7033,0.05569259,0.7033,0.24250474,0.8612
0,2,67,0.86124402,0.84615384,0.27425963,0.18979325,0.27567567,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.00493574,0.7129,-0.18485752,0.2153,-0.18979326,0.1387,-0.18485752,0.2153,0.00493574,0.7129,0.18979325,0.8612,0.18979325,0.8612
0,2,69,0.85167464,0.88461538,0.27237827,0.20168539,0.30756302,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.00496254,0.6937,-0.19672285,0.2344,-0.2016854,0.1483,-0.19672285,0.2344,0.00496254,0.6937,0.00496254,0.6937,0.20168539,0.8516
0,2,73,0.74641148,0.57692307,0.28519924,0.12751423,-0.11674348,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,-0.04316889,0.598,-0.1683112,0.2775,-0.17068312,0.2679,-0.04316889,0.598,-0.04316889,0.598,0.12751423,0.7464,0.12751423,0.7464
0,2,75,0.84210526,0.92307692,0.31151685,0.20749063,0.24705882,2,<sklearn.tree._tree.Tree object at 0x7ff3204d5e30>,0.06367041,0.7033,0.0,0.6076,-0.20749064,0.1578,0.0,0.6076,0.06367041,0.7033,0.06367041,0.7033,0.20749063,0.8421
